algorithm,metric,value,rms_log_bias_error,p_in_band,mean_lifetime_score,recovery_time,cumulative_cost,burn_in_epochs,n_epochs
baseline,rms_log_bias_error,0.03588086318737705,0.03588086318737705,0.4056603773584906,2.348720267326678,38,240.0,14,120
baseline,p_in_band,0.4056603773584906,0.03588086318737705,0.4056603773584906,2.348720267326678,38,240.0,14,120
baseline,mean_lifetime_score,2.348720267326678,0.03588086318737705,0.4056603773584906,2.348720267326678,38,240.0,14,120
baseline,recovery_time,38,0.03588086318737705,0.4056603773584906,2.348720267326678,38,240.0,14,120
BLT,rms_log_bias_error,0.01894859927237209,0.01894859927237209,0.9056603773584906,2.354644544030343,14,276.0000000000006,14,120
BLT,p_in_band,0.9056603773584906,0.01894859927237209,0.9056603773584906,2.354644544030343,14,276.0000000000006,14,120
BLT,mean_lifetime_score,2.354644544030343,0.01894859927237209,0.9056603773584906,2.354644544030343,14,276.0000000000006,14,120
BLT,recovery_time,14,0.01894859927237209,0.9056603773584906,2.354644544030343,14,276.0000000000006,14,120
