epoch,algorithm,Delta_env,Delta_d_ideal,Delta_d_learned,Delta_eff,bias,target_bias,target_band_low,target_band_high,tracking_error,T_X,T_Z,lifetime_score,reward,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,burn_in_flag,g2_real,g2_imag,eps_real,eps_imag,Delta_d_bound
16,baseline,-0.025551333649285544,0.025551333649285544,0.028323878702003456,0.002772545052717911,103.18105104289631,100.0,97.0,103.0,0.0313150362748472,0.3234463823359296,32.38656147355154,2.349021646252093,2.8942740010827666,BASELINE_UPDATE,0,0,0,2.0,34.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
17,baseline,-0.023442355277997998,0.023442355277997998,0.026211476994500105,0.002769121716502107,103.03051234827991,100.0,97.0,103.0,0.029854994763275397,0.3234092918024497,32.439057736806845,2.3505265818451466,2.900612594020135,BASELINE_UPDATE,0,0,0,2.0,36.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
18,baseline,-0.02112166959891581,0.02112166959891581,0.02570690553665591,0.004585235937740101,104.95526208180837,100.0,97.0,103.0,0.048363997962163494,0.32322226883417005,32.20600330737226,2.3427378196771427,2.8291335178463726,BASELINE_UPDATE,0,0,0,2.0,38.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
19,baseline,-0.018613036607245247,0.018613036607245247,0.022778625670491104,0.004165589063245857,104.15117305853872,100.0,97.0,103.0,0.040673244819538594,0.32063707667270097,32.3443011694666,2.33899244601215,2.85301564385519,BASELINE_UPDATE,0,0,0,2.0,40.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
20,baseline,-0.015942134767412082,0.015942134767412082,0.019242604413467375,0.003300469646055293,103.92205284859055,100.0,97.0,103.0,0.038470940303378075,0.32349443156236485,32.386660466553394,2.349173245736876,2.8742467563104617,BASELINE_UPDATE,0,0,0,2.0,42.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
21,baseline,-0.013136299400297369,0.013136299400297369,0.018129967354832906,0.004993667954535538,105.66447671160945,100.0,97.0,103.0,0.05509857387958676,0.3189584829350198,32.049393822866875,2.324583937498383,2.7726097310575097,BASELINE_UPDATE,0,0,0,2.0,44.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
22,baseline,-0.010224243864050103,0.010224243864050103,0.0161203110193241,0.005896067155273996,107.28676710568095,100.0,97.0,103.0,0.0703351299079556,0.32019903760919416,32.00856415323526,2.327191012765053,2.7011426558547535,BASELINE_UPDATE,0,0,0,2.0,46.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
23,baseline,-0.007235766372714348,0.007235766372714348,0.01085448513094102,0.0036187187582266724,104.22213751271198,100.0,97.0,103.0,0.04135437290376687,0.32170662310660575,32.2380685400348,2.339032749922155,2.8519443515800202,BASELINE_UPDATE,0,0,0,2.0,48.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
24,baseline,-0.004201445448239414,0.004201445448239414,0.008238210207570509,0.0040367647593310945,104.59100679303373,100.0,97.0,103.0,0.04488738482443802,0.3225168246370429,32.38420969882594,2.3460709743378425,2.8479530117372733,BASELINE_UPDATE,0,0,0,2.0,50.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
25,baseline,-0.00115232712212986,0.00115232712212986,0.004345141563454684,0.0031928144413248243,103.28134706720901,100.0,97.0,103.0,0.03228660333132091,0.32321007974904314,32.380460202504935,2.3481023952235147,2.8913428921673976,BASELINE_UPDATE,0,0,0,2.0,52.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
26,baseline,0.0018803929082614147,-0.0018803929082614147,0.0018549061445612487,0.0037352990528226634,104.73522970461822,100.0,97.0,103.0,0.046265357665478325,0.32255302595621416,32.37920358662312,2.346028617412209,2.842560354916049,BASELINE_UPDATE,0,0,0,2.0,54.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
27,baseline,0.004865688907958972,-0.004865688907958972,-0.001469127430973433,0.003396561476985539,103.90693335909265,100.0,97.0,103.0,0.03832544096952221,0.3230085153507236,32.326501665166525,2.345810786012427,2.870524117338293,BASELINE_UPDATE,0,0,0,2.0,56.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
28,baseline,0.007773023233979746,-0.007773023233979746,-0.00223147144430638,0.005541551789673365,106.2414790019106,100.0,97.0,103.0,0.060544420971356434,0.3221901023080784,32.056712464913645,2.3348930709159585,2.7632790884254774,BASELINE_UPDATE,0,0,0,2.0,58.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
29,baseline,0.010572659694743393,-0.010572659694743393,-0.005922636216846431,0.004650023477896962,105.5723787074838,100.0,97.0,103.0,0.05422658579986837,0.320023880961052,32.09631005305341,2.329381413940644,2.7874000205915435,BASELINE_UPDATE,0,0,0,2.0,60.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
30,baseline,0.013235968912984637,-0.013235968912984637,-0.009146695709104303,0.004089273203880334,104.75020939612098,100.0,97.0,103.0,0.04640837182047263,0.3231308300257529,32.26653115957096,2.344332514756211,2.839945304567337,BASELINE_UPDATE,0,0,0,2.0,62.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
31,baseline,0.015735722544520384,-0.015735722544520384,-0.013367581406280814,0.00236814113823957,102.86159557875875,100.0,97.0,103.0,0.02821416637873968,0.3245377156265341,32.340294316076836,2.3509604320906305,2.905238303609281,BASELINE_UPDATE,0,0,0,2.0,64.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
32,baseline,0.018046373316461917,-0.018046373316461917,-0.015259102062723405,0.002787271253738512,103.59530941132813,100.0,97.0,103.0,0.035321866859873256,0.3239790297308127,32.30834488435028,2.3482490640757208,2.882802416070462,BASELINE_UPDATE,0,0,0,2.0,66.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
33,baseline,0.020144317991181326,-0.020144317991181326,-0.01776781420289113,0.0023765037882901956,102.560701413019,100.0,97.0,103.0,0.025284646211379675,0.32444901918935165,32.50637848309493,2.355809470183039,2.9178601664638966,BASELINE_UPDATE,0,0,0,2.0,68.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
34,baseline,0.022008140535124295,-0.022008140535124295,-0.020322035465096516,0.001686105070027779,101.70732684707025,100.0,97.0,103.0,0.016929158198735923,0.3253996125044178,32.5277263844916,2.359391570132516,2.937136336358225,BASELINE_UPDATE,0,0,0,2.0,70.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
35,baseline,0.023618832972653787,-0.023618832972653787,-0.02014840049956796,0.0034704324730858264,103.52347919867036,100.0,97.0,103.0,0.03462825315133788,0.32251079398864907,32.43429273329692,2.3475976071893783,2.8824888840622873,BASELINE_UPDATE,0,0,0,2.0,72.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
36,baseline,0.024959991632482432,-0.024959991632482432,-0.022887081664118174,0.002072909968364258,102.39597722986842,100.0,97.0,103.0,0.023677240981079307,0.3243101918312649,32.38722939092788,2.3517093515053666,2.9159692311300662,BASELINE_UPDATE,0,0,0,2.0,74.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
37,baseline,0.0260179867455805,-0.0260179867455805,-0.022954989373686518,0.0030629973718939822,103.43551183864564,100.0,97.0,103.0,0.033778158503298086,0.32323869338019257,32.37196123383591,2.3479284142272117,2.8867045804245235,BASELINE_UPDATE,0,0,0,2.0,76.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
38,baseline,0.026782103626171252,-0.026782103626171252,-0.024442130501006697,0.0023399731251645545,102.20407546949343,100.0,97.0,103.0,0.021801368378734323,0.32347969998562676,32.32860056029926,2.3473333864840096,2.914076222754375,BASELINE_UPDATE,0,0,0,2.0,78.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
39,baseline,0.027244653958745924,-0.027244653958745924,-0.02785611960007346,-0.0006114656413275348,99.57542769334455,100.0,97.0,103.0,0.004254761741613225,0.3261609344093088,32.59185014185789,2.3636979058749144,2.9537379023057033,BASELINE_UPDATE,0,0,0,2.0,80.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
40,baseline,0.027401056020959633,-0.027401056020959633,-0.029866193094199245,-0.0024651370732396115,97.41436920262724,100.0,97.0,103.0,0.026196458473037042,0.3248687166237541,32.36804664945961,2.352837594534214,2.910943293265829,BASELINE_UPDATE,0,0,0,2.0,82.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
41,baseline,0.02724988299164591,-0.02724988299164591,-0.027950914403658628,-0.0007010314120127169,98.94886107461167,100.0,97.0,103.0,0.010567024115797151,0.3240745265484362,32.422848421691796,2.352081603034057,2.9351793621176725,BASELINE_UPDATE,0,0,0,2.0,84.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
42,baseline,0.026792878821720774,-0.026792878821720774,-0.02793010747258101,-0.0011372286508602378,98.50113905221556,100.0,97.0,103.0,0.015102073895026652,0.3256687692180397,32.39192531294751,2.3560347135191053,2.9353231377062223,BASELINE_UPDATE,0,0,0,2.0,86.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
43,baseline,0.026034941480044264,-0.026034941480044264,-0.027632596212301012,-0.0015976547322567487,98.09432856564483,100.0,97.0,103.0,0.01924063387449265,0.3265482443144251,32.38875932103863,2.35863384895096,2.932621485896173,BASELINE_UPDATE,0,0,0,2.0,88.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
44,baseline,0.02498407372291128,-0.02498407372291128,-0.026136835680024836,-0.0011527619571135572,99.1934062289771,100.0,97.0,103.0,0.00809864337241377,0.32389611256794565,32.41123531955619,2.3511726769816073,2.9349048117684697,BASELINE_UPDATE,0,0,0,2.0,90.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
45,baseline,0.02365130187126828,-0.02365130187126828,-0.02588771255840532,-0.0022364106871370394,97.23509931546526,100.0,97.0,103.0,0.028038435635508157,0.32544562340952016,32.39047906484949,2.3553046367246173,2.9109977186386744,BASELINE_UPDATE,0,0,0,2.0,92.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
46,baseline,0.022050563410518715,-0.022050563410518715,-0.023315576409298894,-0.0012650129987801795,98.74774843936939,100.0,97.0,103.0,0.012601583080778958,0.3248577034873397,32.554653341269166,2.358552290276131,2.9413749398952187,BASELINE_UPDATE,0,0,0,2.0,94.0,0,1.6472,0.5161,3.8076,-0.3302,0.075
