epoch,algorithm,bias,target_bias,update_type,reward,T_X,T_Z,cost_units,cumulative_cost_units,gate1_pass,gate2_pass,gate3_pass,trust_region_length,best_reward,incumbent_bias,optimizer_type
0,BLT hybrid optimizer,28.46957613209257,100.0,BAYESIAN_UPDATE,-390.61350566999283,0.49561608455792067,14.109979851611351,2.0,2.0,0,0,0,0.58,-390.61350566999283,28.46957613209257,BLT-lite hybrid optimizer
1,BLT hybrid optimizer,54.23964040766663,100.0,BLT_REWARD_REGION,-6.067261931297597,0.388750644816795,21.08569518311149,4.0,6.0,1,1,0,0.9,-6.067261931297597,54.23964040766663,BLT-lite hybrid optimizer
2,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,34.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
3,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,62.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
4,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,90.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
5,BLT hybrid optimizer,100.55845016302561,100.0,BLT_JACOBIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,28.0,118.0,1,1,1,0.9,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
6,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,122.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
7,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,126.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
8,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,130.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
9,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,134.0,1,1,0,0.5294117647058824,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
10,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,138.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
11,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,142.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
12,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,146.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
13,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,150.0,1,1,0,0.31141868512110726,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
14,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,154.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
15,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,158.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
16,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,162.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
17,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,166.0,1,1,0,0.18318746183594545,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
18,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,170.0,1,1,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
19,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,174.0,1,1,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
20,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,178.0,0,0,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
21,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,182.0,0,0,0,0.10775733049173263,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
22,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,186.0,1,1,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
23,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,190.0,1,1,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
24,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,194.0,0,0,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
25,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,198.0,1,1,0,0.06338666499513684,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
26,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,202.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
27,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,206.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
28,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,210.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
29,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,214.0,1,1,0,0.58,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
30,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,218.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
31,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,222.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
32,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,226.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
33,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,230.0,1,1,0,0.3411764705882353,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
34,BLT hybrid optimizer,100.55845016302561,100.0,BAYESIAN_UPDATE,0.7467870267874546,0.3344698501757612,33.63376975993393,2.0,234.0,0,0,0,0.20069204152249137,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
35,BLT hybrid optimizer,100.55845016302561,100.0,BLT_REWARD_REGION,0.7467870267874546,0.3344698501757612,33.63376975993393,4.0,238.0,1,1,0,0.20069204152249137,0.7467870267874546,100.55845016302561,BLT-lite hybrid optimizer
