epoch,algorithm,reward,update_type,bias,cost_units,cumulative_cost_units,optimizer_type
5,BLT hybrid optimizer,0.7467870267874546,BLT_JACOBIAN_UPDATE,100.55845016302561,28.0,118.0,BLT-lite hybrid optimizer
6,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,122.0,BLT-lite hybrid optimizer
7,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,126.0,BLT-lite hybrid optimizer
8,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,130.0,BLT-lite hybrid optimizer
9,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,134.0,BLT-lite hybrid optimizer
10,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,138.0,BLT-lite hybrid optimizer
11,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,142.0,BLT-lite hybrid optimizer
12,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,146.0,BLT-lite hybrid optimizer
13,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,150.0,BLT-lite hybrid optimizer
14,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,154.0,BLT-lite hybrid optimizer
15,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,158.0,BLT-lite hybrid optimizer
16,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,162.0,BLT-lite hybrid optimizer
17,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,166.0,BLT-lite hybrid optimizer
18,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,170.0,BLT-lite hybrid optimizer
19,BLT hybrid optimizer,0.7467870267874546,BLT_REWARD_REGION,100.55845016302561,4.0,174.0,BLT-lite hybrid optimizer
20,BLT hybrid optimizer,0.7467870267874546,BAYESIAN_UPDATE,100.55845016302561,2.0,178.0,BLT-lite hybrid optimizer
21,BLT hybrid optimizer,0.7467870267874546,BAYESIAN_UPDATE,100.55845016302561,2.0,182.0,BLT-lite hybrid optimizer
