epoch,bias,algorithm,target_bias,target_lower,target_upper,incumbent_reward,incumbent_T_X,incumbent_T_Z,optimizer_type,trust_region_length,success_counter,failure_counter,best_reward,restart_count
0,28.46957613209257,physical coordinates + reward,100.0,97.0,103.0,-390.61350566999283,0.49561608455792067,14.109979851611351,physical-coordinate CMA-ES,,,,,
1,69.25722910517119,physical coordinates + reward,100.0,97.0,103.0,-28.99598931562811,0.31269591625532744,21.65645271234664,physical-coordinate CMA-ES,,,,,
2,76.56759359837669,physical coordinates + reward,100.0,97.0,103.0,-14.055772332793799,0.2701165189884045,20.682171850112354,physical-coordinate CMA-ES,,,,,
3,83.85194100982818,physical coordinates + reward,100.0,97.0,103.0,-4.94099569363297,0.2738967442343954,22.966773640326522,physical-coordinate CMA-ES,,,,,
4,87.2927691713467,physical coordinates + reward,100.0,97.0,103.0,-2.3844824157611457,0.23679654645674492,20.670626270420712,physical-coordinate CMA-ES,,,,,
5,87.2927691713467,physical coordinates + reward,100.0,97.0,103.0,-2.3844824157611457,0.23679654645674492,20.670626270420712,physical-coordinate CMA-ES,,,,,
6,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
7,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
8,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
9,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
10,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
11,105.34795647074066,physical coordinates + reward,100.0,97.0,103.0,0.7665824093534682,0.3517565792209259,37.05683679606274,physical-coordinate CMA-ES,,,,,
12,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
13,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
14,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
15,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
16,98.24611579979575,physical coordinates + reward,100.0,97.0,103.0,0.8204987166145199,0.3257591951075763,32.004575605387195,physical-coordinate CMA-ES,,,,,
17,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
18,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
19,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
20,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
21,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
22,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
23,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
24,102.25248862937325,physical coordinates + reward,100.0,97.0,103.0,0.9302285894532235,0.373504740245766,38.1917892049972,physical-coordinate CMA-ES,,,,,
25,100.93348375012492,physical coordinates + reward,100.0,97.0,103.0,0.8070848442218836,0.31529312594896014,31.82363360449546,physical-coordinate CMA-ES,,,,,
26,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
27,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
28,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
29,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
30,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
31,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
32,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
33,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
34,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
35,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
36,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
37,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
38,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
39,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
40,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
41,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
42,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
43,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
44,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
45,99.56392683464526,physical coordinates + reward,100.0,97.0,103.0,0.8366123229658495,0.33113156691571066,32.96875910103726,physical-coordinate CMA-ES,,,,,
0,28.46957613209257,trust-region Bayesian (TUrBO-like),100.0,97.0,103.0,-390.61350566999283,0.49561608455792067,14.109979851611351,trust-region Bayesian / TUrBO-like,0.58,1,0,-390.61350566999283,0
1,83.50305560543069,trust-region Bayesian (TUrBO-like),100.0,97.0,103.0,-5.099135449893689,0.34699553216899115,28.975187217543283,trust-region Bayesian / TUrBO-like,0.9,0,0,-5.099135449893689,0
