epoch,algorithm,drift_signal,ideal_compensation,learned_compensation,residual_drift,bias,target_bias,tracking_error,target_band_low,target_band_high,burn_in,f_drift,f_conv,n_conv,drift_amplitude,seed
15,Bayesian/TUrBO,0.023094870688768615,-0.023094870688768615,-0.02408802090245105,-0.0009931502136824345,99.79868635579345,100.0,0.0020151655249037305,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
16,Bayesian/TUrBO,0.02209155155779544,-0.02209155155779544,-0.023805637150698174,-0.0017140855929027345,99.65624752978013,100.0,0.003443446565166022,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
17,Bayesian/TUrBO,0.020892146251249518,-0.020892146251249518,-0.023316599695808328,-0.00242445344455881,99.5247395343201,100.0,0.004763934193101835,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
18,Bayesian/TUrBO,0.019507300775542233,-0.019507300775542233,-0.02264896565636804,-0.003141664880825807,99.18178782972039,100.0,0.008215778978255237,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
19,Bayesian/TUrBO,0.017949307117154513,-0.017949307117154513,-0.021481561548626602,-0.0035322544314720893,99.11815548633085,100.0,0.008857557735319205,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
20,Bayesian/TUrBO,0.016231994138094556,-0.016231994138094556,-0.0202649612380322,-0.004032967099937643,99.24722662523544,100.0,0.007556210133778314,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
21,Bayesian/TUrBO,0.014370604829939666,-0.014370604829939666,-0.01925231459617435,-0.004881709766234683,98.87173494905439,100.0,0.01134678245254714,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
22,Bayesian/TUrBO,0.01238166101596395,-0.01238166101596395,-0.01765333645738925,-0.005271675441425301,98.99274914202188,100.0,0.010123579525431733,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
23,Bayesian/TUrBO,0.01028281670226519,-0.01028281670226519,-0.016289528380200133,-0.006006711677934942,98.64483848436872,100.0,0.01364427638479998,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
24,Bayesian/TUrBO,0.008092701379557067,-0.008092701379557067,-0.01438093573419056,-0.006288234354633493,98.63614627889311,100.0,0.013732396438455112,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
25,Bayesian/TUrBO,0.005830754666490568,-0.005830754666490568,-0.012507134582760482,-0.006676379916269914,98.57779732530953,100.0,0.0143241289926526,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
26,Bayesian/TUrBO,0.003517053762222785,-0.003517053762222785,-0.010545775185296072,-0.007028721423073287,98.50434859838116,100.0,0.015069490577636319,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
27,Bayesian/TUrBO,0.0011721352397757931,-0.0011721352397757931,-0.00848068063036861,-0.007308545390592817,98.44358316373949,100.0,0.015686561658567792,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
28,Bayesian/TUrBO,-0.0011831872380394255,0.0011831872380394255,-0.006333189434914843,-0.007516376672954269,98.39408102689711,100.0,0.016189535904777508,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
29,Bayesian/TUrBO,-0.003528007662167416,0.003528007662167416,-0.004118666708178698,-0.007646674370346114,98.26177590678797,100.0,0.017535085863305662,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
30,Bayesian/TUrBO,-0.005841513240524821,0.005841513240524821,-0.001709170227384353,-0.007550683467909174,98.29871126816943,100.0,0.01715926911247212,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
31,Bayesian/TUrBO,-0.008103169133816172,0.008103169133816172,0.0006256053322595671,-0.007477563801556605,98.328700700559,100.0,0.0168542309459027,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
32,Bayesian/TUrBO,-0.010292900724221295,0.010292900724221295,0.0029197499407930968,-0.0073731507834281975,98.45806556157706,100.0,0.015539458798257196,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
33,Bayesian/TUrBO,-0.01239127179912428,0.01239127179912428,0.005020838338542085,-0.007370433460582195,98.3965040217403,100.0,0.0161649107953729,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
34,Bayesian/TUrBO,-0.014379657068312506,0.014379657068312506,0.007233673246962674,-0.007145983821349832,98.52158437460717,100.0,0.014894531109002808,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
35,Bayesian/TUrBO,-0.01624040748337127,0.01624040748337127,0.009247422311558007,-0.006992985171813262,98.50698645529924,100.0,0.015042711845158563,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
36,Bayesian/TUrBO,-0.017957006891886815,0.017957006891886815,0.011300721845936291,-0.006656285045950524,98.63290127847843,100.0,0.013765295673841096,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
37,Bayesian/TUrBO,-0.01951421863598449,0.01951421863598449,0.01316038830821484,-0.006353830327769651,98.57231602544778,100.0,0.014379734335911155,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
38,Bayesian/TUrBO,-0.020898220793982708,0.020898220793982708,0.01512963988123097,-0.005768580912751738,98.66137740348425,100.0,0.013476629166187625,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
39,Bayesian/TUrBO,-0.022096728864748227,0.022096728864748227,0.016955046969760326,-0.005141681894987902,98.85463745416646,100.0,0.011519723418617935,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
40,Bayesian/TUrBO,-0.023099104805797965,0.023099104805797965,0.018499233266650462,-0.004599871539147503,98.97569028344773,100.0,0.010295918698947127,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
41,Bayesian/TUrBO,-0.023896451457317107,0.023896451457317107,0.019886533933965934,-0.004009917523351173,99.18474465037038,100.0,0.008185967289627817,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
42,Bayesian/TUrBO,-0.024481691513979536,0.024481691513979536,0.02097403013606082,-0.003507661377918716,99.07037644695819,100.0,0.009339715202577283,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
43,Bayesian/TUrBO,-0.024849630343610936,0.024849630343610936,0.022263360589770673,-0.002586269753840263,99.32789617278999,100.0,0.006743726164431389,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
44,Bayesian/TUrBO,-0.02499700209511169,0.02499700209511169,0.023147559761672955,-0.0018494423334387347,99.76363230815396,100.0,0.002366474812495726,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
45,Bayesian/TUrBO,-0.024922498686382466,0.024922498686382466,0.02341057108130507,-0.0015119276050773976,99.66993306730105,100.0,0.003306128552033747,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
46,Bayesian/TUrBO,-0.02462678141495353,0.02462678141495353,0.02387422025303064,-0.0007525611619228906,99.75627458562478,100.0,0.002440229082403541,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
47,Bayesian/TUrBO,-0.024112475088261046,0.024112475088261046,0.024195171044227082,8.269595596603618e-05,100.09406288532729,100.0,0.0009401867391749433,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
48,Bayesian/TUrBO,-0.023384144725670453,0.023384144725670453,0.024020867182227155,0.0006367224565567015,100.16412124379801,100.0,0.0016398671206133979,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
49,Bayesian/TUrBO,-0.022448255039041406,0.022448255039041406,0.02378770784239663,0.001339452803355224,100.39221526068107,100.0,0.003914481019157513,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
50,Bayesian/TUrBO,-0.02131311305148765,0.02131311305148765,0.023222897513895016,0.001909784462407367,100.5268496791142,100.0,0.005254666816108726,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
51,Bayesian/TUrBO,-0.019988794363651786,0.019988794363651786,0.022488076778103584,0.0024992824144517978,100.59692295929179,100.0,0.005951484323991642,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
52,Bayesian/TUrBO,-0.018487053721960627,0.018487053721960627,0.02166700867699724,0.0031799549550366145,100.81404625016519,100.0,0.008107507661077961,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
53,Bayesian/TUrBO,-0.016821220682663836,0.016821220682663836,0.02053203913225361,0.003710818449589773,100.74887911379562,100.0,0.007460889355429608,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
54,Bayesian/TUrBO,-0.015006081297748903,0.015006081297748903,0.019523462651590228,0.004517381353841325,100.9428703808885,100.0,0.00938453102544626,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
55,Bayesian/TUrBO,-0.013057746872897031,0.013057746872897031,0.018217522398074615,0.005159775525177584,101.25701085801843,100.0,0.01249176064352577,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
56,Bayesian/TUrBO,-0.010993510962393302,0.010993510962393302,0.016471729179165475,0.005478218216772173,101.18667213870103,100.0,0.01179686395812031,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
57,Bayesian/TUrBO,-0.008831695870314493,0.008831695870314493,0.014872541776040967,0.006040845905726474,101.37890528003481,100.0,0.013694848813108163,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
58,Bayesian/TUrBO,-0.006591490020461129,0.006591490020461129,0.012979180780776367,0.006387690760315238,101.46058068253285,100.0,0.014500169399724776,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
59,Bayesian/TUrBO,-0.0042927776385492415,0.0042927776385492415,0.010990903309178221,0.0066981256706289795,101.54261225138794,100.0,0.015308349528662323,97.0,103.0,0,0.015,0.16666666666666666,6,0.025,1708
