algorithm,normalized_frequency,run_id,actual_f_drift,f_conv,n_conv,rms_tracking_error,p_in_band,mean_rms_tracking_error,std_rms_tracking_error,sem_rms_tracking_error,mean_p_in_band,std_p_in_band,n_runs,drift_amplitude,seed,phase,burn_in_epochs
Bayesian/TUrBO,0.1,2,0.016666666666666666,0.16666666666666666,6,0.012665869028459389,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,902129,5.672045071817775,12
Bayesian/TUrBO,0.1,3,0.016666666666666666,0.16666666666666666,6,0.013120577930109217,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,937885,0.6317300885104296,12
Bayesian/TUrBO,0.1,4,0.016666666666666666,0.16666666666666666,6,0.012678352174202344,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,284559,2.9155351443633175,12
Bayesian/TUrBO,0.1,5,0.016666666666666666,0.16666666666666666,6,0.012664417874387114,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,999392,5.642144112287704,12
Bayesian/TUrBO,0.1,6,0.016666666666666666,0.16666666666666666,6,0.013318879480025981,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,12066,4.160383449725319,12
Bayesian/TUrBO,0.1,7,0.016666666666666666,0.16666666666666666,6,0.012862740925263924,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,526806,3.31463934623019,12
Bayesian/TUrBO,0.1,8,0.016666666666666666,0.16666666666666666,6,0.013079262460626843,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,964493,0.6147855998057387,12
Bayesian/TUrBO,0.1,9,0.016666666666666666,0.16666666666666666,6,0.013293589992831638,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,891638,4.6843522074681765,12
Bayesian/TUrBO,0.1,10,0.016666666666666666,0.16666666666666666,6,0.012869478106365377,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,366855,0.25246424603323003,12
Bayesian/TUrBO,0.1,11,0.016666666666666666,0.16666666666666666,6,0.013291945797650365,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,333164,1.649223773072159,12
Bayesian/TUrBO,0.1,12,0.016666666666666666,0.16666666666666666,6,0.01330427088957279,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,170996,1.5724883943534576,12
Bayesian/TUrBO,0.1,13,0.016666666666666666,0.16666666666666666,6,0.012675113607737713,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,71904,2.971337817561793,12
Bayesian/TUrBO,0.1,14,0.016666666666666666,0.16666666666666666,6,0.013151869225048822,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,325630,3.8216220922602138,12
Bayesian/TUrBO,0.1,15,0.016666666666666666,0.16666666666666666,6,0.012981063814168473,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,28261,5.193454138841545,12
Bayesian/TUrBO,0.1,16,0.016666666666666666,0.16666666666666666,6,0.012662771061210753,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,445543,6.135691316333194,12
Bayesian/TUrBO,0.1,17,0.016666666666666666,0.16666666666666666,6,0.01291306509954303,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,157639,3.441011194816348,12
Bayesian/TUrBO,0.1,18,0.016666666666666666,0.16666666666666666,6,0.01271351069785261,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,324640,3.05383555676584,12
Bayesian/TUrBO,0.1,19,0.016666666666666666,0.16666666666666666,6,0.01330492156858204,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,712635,4.392667540657506,12
Bayesian/TUrBO,0.1,20,0.016666666666666666,0.16666666666666666,6,0.012720356503222468,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,624635,3.073136613504085,12
Bayesian/TUrBO,0.1,21,0.016666666666666666,0.16666666666666666,6,0.013253218011864744,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,844614,0.8663002031835351,12
Bayesian/TUrBO,0.1,22,0.016666666666666666,0.16666666666666666,6,0.012934464366183182,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,892471,0.38674522106200543,12
Bayesian/TUrBO,0.1,23,0.016666666666666666,0.16666666666666666,6,0.013208395027159932,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,388092,4.905639489633271,12
Bayesian/TUrBO,0.1,24,0.016666666666666666,0.16666666666666666,6,0.012927542141677358,1.0,0.01294649538277017,0.00024627290856518795,4.496307577452022e-05,1.0,0.0,30,0.025,808836,3.4708344662159294,12
