epoch,algorithm,drift_signal,ideal_compensation,learned_compensation,residual_drift,bias,target_bias,tracking_error,target_band_low,target_band_high,burn_in,f_drift,f_conv,n_conv,drift_amplitude,seed
41,Bayesian/TUrBO,0.0017080703996879185,-0.0017080703996879185,0.002950246718410291,0.0046583171180982095,101.0127610993091,100.0,0.01007667038990459,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
42,Bayesian/TUrBO,0.0025942987668414515,-0.0025942987668414515,0.0016150534821239282,0.00420935224896538,100.97054163730996,100.0,0.00965862135276151,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
43,Bayesian/TUrBO,0.0032424899148211766,-0.0032424899148211766,0.00030366942089022774,0.003546159335711404,100.74146929535775,100.0,0.007387339247449553,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
44,Bayesian/TUrBO,0.0036439799451365483,-0.0036439799451365483,-0.0006727229932349922,0.002971256951901556,100.67959207306633,100.0,0.00677293255315896,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
45,Bayesian/TUrBO,0.0037950291804004655,-0.0037950291804004655,-0.001587926431925445,0.0022071027484750205,100.38954841794137,100.0,0.0038879164279217032,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
46,Bayesian/TUrBO,0.003696855282115214,-0.003696855282115214,-0.0020787557249342683,0.001618099557180946,100.28564976778856,100.0,0.0028524256410597266,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
47,Bayesian/TUrBO,0.0033555686231325718,-0.0033555686231325718,-0.0024536025288943043,0.0009019660942382675,100.09172761800077,100.0,0.0009168557392997915,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
48,Bayesian/TUrBO,0.002782011670410189,-0.002782011670410189,-0.0025522341765020842,0.00022977749390810497,100.07063970750644,100.0,0.000706147694085069,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
49,Bayesian/TUrBO,0.001991506103759394,-0.001991506103759394,-0.0026456537523516796,-0.0006541476485922857,99.94178769730313,100.0,0.0005822925263608167,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
50,Bayesian/TUrBO,0.001003513283364689,-0.001003513283364689,-0.0025486805866600324,-0.0015451673032953433,99.68510084427035,100.0,0.0031539600644770126,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
51,Bayesian/TUrBO,-0.00015878455680732174,0.00015878455680732174,-0.002083526929620691,-0.0022423114864280128,99.56458017230916,100.0,0.004363705405544807,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
52,Bayesian/TUrBO,-0.0014689734080924343,0.0014689734080924343,-0.0014719796651227674,-0.0029409530732152018,99.4581992504108,100.0,0.005432738129720535,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
53,Bayesian/TUrBO,-0.0028979564860578174,0.0028979564860578174,-0.0007165740193766579,-0.0036145305054344754,99.12001361447753,100.0,0.008838811313727804,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
54,Bayesian/TUrBO,-0.004414551548513197,0.004414551548513197,0.000535164885004503,-0.0038793866635086936,99.07390722579127,100.0,0.009304076739857087,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
55,Bayesian/TUrBO,-0.005986124011293085,0.005986124011293085,0.001810247150795865,-0.004175876860497221,99.12273231148565,100.0,0.008811383354176586,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
56,Bayesian/TUrBO,-0.00757924266683118,0.00757924266683118,0.003005080880197032,-0.004574161786634148,99.0558819568454,100.0,0.009486030892939952,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
57,Bayesian/TUrBO,-0.009160344417342939,0.009160344417342939,0.004307830286581075,-0.004852514130761864,98.82274058524054,100.0,0.011842439852021727,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
58,Bayesian/TUrBO,-0.010696394329249008,0.010696394329249008,0.005954841297662422,-0.004741553031586586,99.13646612365366,100.0,0.008672839344129294,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
59,Bayesian/TUrBO,-0.012155527499696247,0.012155527499696247,0.007094279383117894,-0.005061248116578353,98.96771108576965,100.0,0.010376539700983218,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
60,Bayesian/TUrBO,-0.01350765969485212,0.01350765969485212,0.008532494347209062,-0.004975165347643059,98.90451381636566,100.0,0.011015308194985618,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
61,Bayesian/TUrBO,-0.014725054462166643,0.014725054462166643,0.010043292307807141,-0.004681762154359502,99.04077984070945,100.0,0.009638503085334963,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
62,Bayesian/TUrBO,-0.01578283541827658,0.01578283541827658,0.01133885902249395,-0.004443976395782629,98.76820442612755,100.0,0.0123944505779656,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
63,Bayesian/TUrBO,-0.016659433648458986,0.016659433648458986,0.013066592476206923,-0.0035928411722520627,99.19539163669077,100.0,0.008078628051638564,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
64,Bayesian/TUrBO,-0.017336961595330387,0.017336961595330387,0.014109371448798657,-0.00322759014653173,99.24704265379287,100.0,0.007558063803843824,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
65,Bayesian/TUrBO,-0.0178015064322443,0.0178015064322443,0.015132917909580164,-0.002668588522664137,99.40620602573321,100.0,0.0059556394080068605,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
66,Bayesian/TUrBO,-0.018043337675270964,0.018043337675270964,0.01592319931436514,-0.002120138360905823,99.41290234155696,100.0,0.005888278520200228,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
67,Bayesian/TUrBO,-0.018057025648514906,0.018057025648514906,0.016725227827740524,-0.0013317978207743816,99.65998132004559,100.0,0.0034059805716797733,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
68,Bayesian/TUrBO,-0.017841469340498423,0.017841469340498423,0.017155830206398846,-0.000685639134099577,99.8709763212932,100.0,0.0012910698592019595,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
69,Bayesian/TUrBO,-0.017399834132833723,0.017399834132833723,0.017303045495665328,-9.678863716839486e-05,99.97186832354686,100.0,0.0002813563415150928,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
70,Bayesian/TUrBO,-0.016739401804511386,0.016739401804511386,0.017327643448812543,0.0005882416443011573,100.09656080328091,100.0,0.0009651421332660225,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
71,Bayesian/TUrBO,-0.015871337074504534,0.015871337074504534,0.017179035451438354,0.0013076983769338205,100.33832700346439,100.0,0.003377559652797963,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
72,Bayesian/TUrBO,-0.01481037670214633,0.01481037670214633,0.016685562532608635,0.0018751858304623045,100.43861194862819,100.0,0.004376528498792676,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
73,Bayesian/TUrBO,-0.013574448781325061,0.013574448781325061,0.016075140889418787,0.0025006921080937255,100.55442029297983,100.0,0.005528890407815927,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
74,Bayesian/TUrBO,-0.012184231306528072,0.012184231306528072,0.015305487262320854,0.0031212559557927816,100.52506116683824,100.0,0.00523687526895565,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
75,Bayesian/TUrBO,-0.010662660325596497,0.010662660325596497,0.014595349932084079,0.003932689606487582,100.9755288278619,100.0,0.009708012663436252,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
76,Bayesian/TUrBO,-0.00903439899969558,0.00903439899969558,0.013210559968054397,0.004176160968358817,101.06624074028123,100.0,0.010605964791933771,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
77,Bayesian/TUrBO,-0.007325279644510963,0.007325279644510963,0.011752047240129366,0.0044267675956184025,101.15864554242154,100.0,0.011519846463671636,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
78,Bayesian/TUrBO,-0.005561731312627981,0.005561731312627981,0.010168697063195897,0.004606965750567916,100.98922379151799,100.0,0.009843630027352073,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
79,Bayesian/TUrBO,-0.0037702056858701337,0.0037702056858701337,0.008849241374506784,0.00507903568863665,101.08668618071086,100.0,0.010808241759284645,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
80,Bayesian/TUrBO,-0.0019766139745463224,0.0019766139745463224,0.007362236429168898,0.005385622454622575,101.17859311293032,100.0,0.01171701798489996,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
81,Bayesian/TUrBO,-0.0002057871706841152,0.0002057871706841152,0.005752068846333223,0.005546281675649108,101.23940052037379,100.0,0.012317828300042055,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
82,Bayesian/TUrBO,0.0015190286169415306,-0.0015190286169415306,0.0040641721193028415,0.005583200736244372,101.26539860834012,100.0,0.012574593455445978,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
83,Bayesian/TUrBO,0.003176630892333534,-0.003176630892333534,0.002345953486895613,0.005522584379229147,101.20350467014197,100.0,0.011963201393515154,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
84,Bayesian/TUrBO,0.004748263821718652,-0.004748263821718652,0.0007229450068062472,0.0054712088285249,101.32768945732987,100.0,0.01318952905416167,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
85,Bayesian/TUrBO,0.006217957177038829,-0.006217957177038829,-0.0010923497868609675,0.005125607390177862,100.89291346076851,100.0,0.008889505612318029,97.0,103.0,0,,0.16666666666666666,6,0.025,1712
