epoch,algorithm,x_value,update_type,target_bias,bias,reward,g2_real,g2_imag,eps_d_real,eps_d_imag,log_kappa2,log_abs_alpha,theta_alpha,theta_g
15,BLT physical-coordinate based,15,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
16,BLT physical-coordinate based,16,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
17,BLT physical-coordinate based,17,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
18,BLT physical-coordinate based,18,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
19,BLT physical-coordinate based,19,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
20,BLT physical-coordinate based,20,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
21,BLT physical-coordinate based,21,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
22,BLT physical-coordinate based,22,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
23,BLT physical-coordinate based,23,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
24,BLT physical-coordinate based,24,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
25,BLT physical-coordinate based,25,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
26,BLT physical-coordinate based,26,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
27,BLT physical-coordinate based,27,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
28,BLT physical-coordinate based,28,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
29,BLT physical-coordinate based,29,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
30,BLT physical-coordinate based,30,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
31,BLT physical-coordinate based,31,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
32,BLT physical-coordinate based,32,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
33,BLT physical-coordinate based,33,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
34,BLT physical-coordinate based,34,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
35,BLT physical-coordinate based,35,BLT_JACOBIAN_UPDATE,100.0,101.48081839167986,3.198870254596764,1.6472,0.5161,3.8076,-0.3302,0.17550740980440607,0.2957500620043268,-0.17004685169402498,0.30363135095489513
