epoch,algorithm,x_value,y_value,bias,target_bias,reward,T_X,T_Z,update_type,gate1_pass,gate2_pass,gate3_pass,cost_units,cumulative_cost_units,trust_region_length
31,BLT physical-coordinate based,31,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,198.0,0.1
32,BLT physical-coordinate based,32,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,202.0,0.1
33,BLT physical-coordinate based,33,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,206.0,0.1
34,BLT physical-coordinate based,34,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,210.0,0.1
35,BLT physical-coordinate based,35,100.0576884943645,100.0576884943645,100.0,0.5351664484931975,0.2338693307785956,23.40042464743021,BLT_REWARD_REGION,1,1,0,4.0,214.0,0.1
0,BLT Bayesian/TUrBO,0,28.46957613209257,28.46957613209257,100.0,-390.61350566999283,0.49561608455792067,14.109979851611351,BAYESIAN_UPDATE,0,0,0,2.0,2.0,0.58
1,BLT Bayesian/TUrBO,1,54.23964040766663,54.23964040766663,100.0,-6.067261931297597,0.388750644816795,21.08569518311149,BLT_REWARD_REGION,1,1,0,4.0,6.0,0.9
2,BLT Bayesian/TUrBO,2,54.23964040766663,54.23964040766663,100.0,-6.067261931297597,0.388750644816795,21.08569518311149,BAYESIAN_UPDATE,0,0,0,2.0,10.0,0.9
3,BLT Bayesian/TUrBO,3,54.23964040766663,54.23964040766663,100.0,-6.067261931297597,0.388750644816795,21.08569518311149,BAYESIAN_UPDATE,0,0,0,2.0,14.0,0.9
4,BLT Bayesian/TUrBO,4,54.23964040766663,54.23964040766663,100.0,-6.067261931297597,0.388750644816795,21.08569518311149,BAYESIAN_UPDATE,0,0,0,2.0,18.0,0.9
5,BLT Bayesian/TUrBO,5,94.41798340186915,94.41798340186915,100.0,0.3890685868076713,0.2162420757570906,20.41714071961871,BLT_REWARD_REGION,1,1,0,4.0,22.0,0.9
6,BLT Bayesian/TUrBO,6,94.41798340186915,94.41798340186915,100.0,0.3890685868076713,0.2162420757570906,20.41714071961871,BLT_REWARD_REGION,1,1,0,4.0,26.0,0.9
