epoch,algorithm,x_value,update_type,target_bias,bias,reward,g2_real,g2_imag,eps_d_real,eps_d_imag,log_kappa2,log_abs_alpha,theta_alpha,theta_g
0,BLT physical-coordinate based,0,PHYSICAL_UPDATE,100.0,28.46957613209257,-390.61350566999283,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
1,BLT physical-coordinate based,1,PHYSICAL_UPDATE,100.0,28.46957613209257,-390.61350566999283,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
2,BLT physical-coordinate based,2,BLT_REWARD_REGION,100.0,28.46957613209257,-390.61350566999283,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
3,BLT physical-coordinate based,3,BLT_REWARD_REGION,100.0,28.46957613209257,-390.61350566999283,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
4,BLT physical-coordinate based,4,BLT_REWARD_REGION,100.0,42.449049326674846,-12.867516128110132,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
5,BLT physical-coordinate based,5,BLT_REWARD_REGION,100.0,42.449049326674846,-12.867516128110132,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
6,BLT physical-coordinate based,6,BLT_REWARD_REGION,100.0,42.449049326674846,-12.867516128110132,1.0,0.0,2.5,0.0,-0.916290731874155,0.11157177565710492,0.0,0.0
7,BLT physical-coordinate based,7,PHYSICAL_UPDATE,100.0,45.00322940999469,-153.2588216331421,0.9737795294344763,0.11025486469466605,2.5184879852682913,-0.06732598228896117,-0.95669332775591,0.12302836420933065,-0.025965595476575842,0.11274350259675625
8,BLT physical-coordinate based,8,BLT_REWARD_REGION,100.0,81.15556307750975,-0.3617025794653289,1.0057729199859313,0.009961336416346155,2.9757401189416837,0.3613406575187503,-0.9046800032147447,0.2833941152849672,0.10122448925842775,0.009903836668425203
9,BLT physical-coordinate based,9,BLT_JACOBIAN_UPDATE,100.0,99.44102711709115,0.4838854812682165,1.009008520399385,-0.23039148692185188,3.0184684027232693,-0.5665725519156324,-0.8475313515918435,0.3347800105169747,-0.10075542050631325,-0.22448602109909999
10,BLT physical-coordinate based,10,BLT_JACOBIAN_UPDATE,100.0,100.28120616759148,0.4551846979923384,1.0100995005577553,-0.22584112826009833,3.0376539658751844,-0.5398248510746485,-0.847412998523912,0.3356179372006981,-0.09395926909084018,-0.2199653614341619
11,BLT physical-coordinate based,11,BLT_JACOBIAN_UPDATE,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
12,BLT physical-coordinate based,12,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
13,BLT physical-coordinate based,13,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
14,BLT physical-coordinate based,14,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
15,BLT physical-coordinate based,15,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
16,BLT physical-coordinate based,16,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
17,BLT physical-coordinate based,17,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
18,BLT physical-coordinate based,18,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
19,BLT physical-coordinate based,19,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
20,BLT physical-coordinate based,20,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
21,BLT physical-coordinate based,21,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
22,BLT physical-coordinate based,22,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
23,BLT physical-coordinate based,23,BLT_REWARD_REGION,100.0,100.0576884943645,0.5351664484931975,1.0100995005577553,-0.22584112826009833,3.037371010603871,-0.5404793453190573,-0.847412998523912,0.3356179372006981,-0.0941353099209361,-0.2199653614341619
